race,age,engnat,gender,hand,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
3,53,1,1,1,4,2,5,2,5,1,4,3,5,1
13,46,1,2,1,2,2,3,3,3,3,1,5,1,5
1,14,2,2,1,5,1,1,4,5,1,1,5,5,1
3,19,2,2,1,2,5,2,4,3,4,3,4,4,5
11,25,2,2,1,3,1,3,3,3,1,3,1,3,5
13,31,1,2,1,1,5,2,4,1,3,2,4,1,5
5,20,1,2,1,5,1,5,1,5,1,5,4,4,1
4,23,2,1,1,4,3,5,3,5,1,4,3,4,3
5,39,1,2,3,3,1,5,1,5,1,5,2,5,3
3,18,1,2,1,1,4,2,5,2,4,1,4,1,5
3,17,2,2,1,1,5,2,5,1,4,1,4,1,5
13,15,2,1,1,3,3,5,3,3,3,2,4,3,3
13,22,1,2,1,3,3,4,2,4,2,2,3,4,3
3,21,1,2,1,1,3,2,5,1,1,1,5,1,5
3,28,2,2,1,3,3,3,4,3,2,2,4,3,5
3,21,1,1,1,2,3,2,3,3,1,1,3,4,4
13,19,1,2,1,1,3,2,4,2,4,1,4,3,4
3,21,1,2,1,4,1,5,2,5,1,5,3,5,1
3,26,1,2,3,2,3,4,3,1,4,1,4,1,5
3,26,1,2,1,2,2,3,3,3,3,1,3,3,3
13,19,2,2,1,1,4,2,5,3,4,2,4,3,3
11,29,2,2,1,2,3,4,2,4,1,3,4,2,3
3,29,1,2,1,2,3,1,4,2,4,1,3,3,4
3,21,1,1,2,3,3,4,3,4,3,3,3,4,3
3,52,1,2,1,3,4,4,4,2,3,3,3,4,5
3,19,2,2,1,1,3,2,4,2,3,3,2,2,5
3,48,1,1,1,5,5,4,1,5,1,5,1,5,2
3,22,1,1,1,3,3,4,3,2,2,3,4,2,4
1,17,1,2,1,2,4,3,4,2,2,4,5,1,5
3,37,2,1,1,3,3,3,3,2,2,4,2,3,4
1,19,1,2,1,4,2,1,5,4,1,3,3,1,5
3,22,1,2,1,2,3,3,4,3,2,4,5,2,4
3,25,1,1,2,4,2,4,2,4,2,4,2,4,2
3,20,1,2,1,5,2,4,1,5,1,5,1,5,3
3,15,1,2,2,1,4,3,4,3,3,1,5,1,5
3,46,1,2,2,1,2,3,3,3,1,1,4,2,3
3,15,1,1,1,1,5,2,5,2,2,2,3,4,5
3,18,1,2,2,2,3,3,3,4,1,1,3,1,3
3,42,1,1,1,2,4,2,4,2,3,3,4,2,5
3,27,1,2,1,1,2,2,4,2,2,1,4,2,5
1,17,1,1,1,5,1,1,1,5,1,5,1,5,1
8,17,1,2,1,4,2,3,3,3,2,5,3,5,5
6,17,1,2,1,2,3,2,4,2,2,2,4,3,5
13,60,1,2,1,3,1,5,1,5,1,5,1,5,1
3,27,1,2,1,1,3,4,5,3,3,3,5,1,5
3,19,1,2,1,4,2,4,3,5,2,5,2,5,3
3,20,1,1,1,1,5,2,5,2,3,1,4,2,5
4,19,1,1,1,2,3,5,2,5,2,3,2,5,1
13,26,2,2,1,1,5,1,5,1,5,1,5,1,5
6,24,2,1,1,1,2,3,5,4,1,1,3,4,4
3,19,1,2,2,1,4,2,4,1,2,1,4,2,5
3,18,1,2,1,2,3,2,5,2,1,1,3,5,5
3,14,1,2,1,2,2,2,2,4,1,2,2,2,4
13,25,2,2,1,2,1,4,2,4,1,1,4,2,3
3,47,1,1,1,4,1,3,1,2,1,4,4,4,4
3,18,1,1,1,2,4,2,4,2,4,2,4,2,4
3,23,2,1,2,2,1,4,2,2,4,5,5,2,5
3,14,1,3,1,2,2,2,2,2,1,1,2,4,4
3,20,1,2,1,1,4,2,5,1,2,1,5,1,5
5,35,1,2,2,4,1,5,3,5,1,1,1,4,1
3,34,1,2,1,4,1,4,2,5,2,5,2,4,2
13,36,2,2,1,5,5,5,5,5,5,5,2,5,1
3,15,1,1,1,3,3,3,5,2,3,3,4,4,4
3,20,1,1,1,4,3,4,2,4,2,4,2,4,2
3,54,1,2,1,2,3,4,3,2,2,2,4,2,4
3,47,2,1,1,2,4,5,2,4,4,4,2,2,3
4,17,2,1,1,3,5,4,4,3,4,2,5,4,5
11,45,2,1,1,4,4,4,2,3,2,4,4,5,3
3,32,1,2,1,2,2,5,2,4,3,2,5,1,2
3,23,2,2,1,3,1,5,2,5,1,3,3,3,2
11,23,1,2,1,4,1,4,2,4,1,2,2,5,4
3,14,1,2,1,1,2,2,5,4,1,1,2,2,5
3,19,1,1,1,5,2,2,3,2,2,5,5,3,5
3,15,1,2,1,1,4,2,4,3,5,3,5,2,5
3,49,2,2,1,3,2,4,4,5,2,4,4,2,2
5,47,1,2,2,1,5,2,5,1,5,1,4,2,5
3,23,2,2,1,3,4,4,3,4,1,1,5,1,5
3,19,2,2,1,1,5,2,5,2,2,1,5,1,4
3,36,1,1,1,3,2,1,3,5,2,1,5,2,5
3,21,1,2,1,2,3,4,2,4,1,4,4,4,4
3,21,2,2,1,3,1,3,1,5,1,1,2,3,5
3,13,1,1,1,3,4,3,3,3,5,2,5,3,4
13,21,2,2,1,3,3,3,1,3,3,3,4,3,3
3,32,2,1,1,4,2,5,3,5,1,4,1,5,1
3,33,1,2,1,4,1,5,2,5,1,5,1,5,2
3,33,1,1,1,3,2,4,2,4,2,4,2,4,2
3,16,1,1,1,2,2,2,3,2,2,5,3,3,5
3,21,2,2,1,3,2,2,2,4,3,4,4,4,4
3,31,2,2,1,3,3,5,2,5,1,2,3,3,2
3,17,1,1,1,1,5,1,5,1,4,1,5,3,5
3,26,1,2,1,2,3,3,3,3,2,2,3,2,5
3,34,2,1,1,4,2,3,2,4,1,2,3,3,3
1,21,1,2,1,1,1,5,3,5,1,1,5,1,3
3,26,2,2,1,5,3,5,2,3,1,5,2,4,4
3,22,2,2,1,2,3,3,4,4,2,3,2,4,4
3,19,2,2,1,1,4,2,2,2,3,1,3,2,5
3,19,2,1,1,4,4,2,4,2,4,2,5,1,4
1,21,1,2,1,4,1,5,1,5,1,5,5,3,5
3,49,2,1,1,3,1,5,3,4,1,4,2,4,2
3,18,1,2,1,3,3,4,4,5,2,5,4,3,4
3,32,1,2,1,1,3,2,4,1,1,1,4,3,4
3,60,1,2,1,1,4,5,3,5,3,3,5,1,4
3,22,1,2,1,1,3,2,4,3,2,1,4,2,4
3,24,1,1,1,1,5,1,5,2,5,1,5,1,5
6,16,2,2,2,2,2,3,3,3,1,2,2,2,5
3,20,2,1,1,2,4,2,3,3,2,2,4,4,4
1,47,1,2,1,3,2,3,3,3,3,2,2,2,3
3,15,1,2,1,2,1,2,2,3,2,2,5,2,4
13,17,1,2,1,1,3,3,5,3,5,1,5,1,5
13,13,1,2,3,5,1,5,5,5,1,5,1,5,1
3,16,2,2,1,4,4,1,5,2,4,1,5,4,5
5,23,2,2,1,1,4,2,2,4,4,4,5,1,5
3,30,1,2,1,5,2,5,1,5,1,5,1,5,2
3,17,1,2,1,3,1,4,1,5,1,3,1,5,2
6,20,1,2,1,2,3,3,4,3,3,2,4,2,4
3,25,1,1,1,2,2,2,4,4,2,1,2,4,5
3,27,2,1,1,4,1,4,1,4,1,4,1,5,1
3,25,1,2,1,1,4,2,5,2,4,1,5,2,4
3,21,1,2,1,3,2,3,2,4,3,2,4,2,4
3,59,1,1,1,1,4,4,2,4,2,3,2,4,2
3,30,1,2,1,4,2,5,2,4,1,4,1,4,2
3,37,1,2,1,5,1,5,1,5,1,3,4,5,1
11,27,2,2,1,2,4,3,4,3,4,2,3,2,3
6,41,1,2,2,2,3,3,4,2,3,2,5,1,5
3,18,1,1,1,4,2,5,2,3,3,4,2,5,4
3,21,1,2,1,3,2,3,2,4,2,4,2,4,3
6,15,1,2,1,5,3,5,4,3,2,3,5,1,1
3,18,2,2,1,2,1,1,4,4,1,1,3,4,5
3,20,1,1,2,4,1,5,2,5,1,4,3,3,2
13,35,1,1,1,5,1,5,1,5,1,5,4,4,1
3,24,1,2,1,2,2,2,4,3,2,3,4,1,3
3,33,1,2,1,5,1,4,1,5,2,5,4,4,2
1,20,2,2,1,3,5,2,5,2,1,1,5,2,5
3,59,1,2,1,1,2,4,4,4,2,3,5,3,3
3,19,1,2,2,5,2,5,1,5,1,3,1,5,1
13,26,2,1,1,2,2,2,2,2,2,2,2,4,4
3,24,2,2,1,3,1,4,3,4,1,2,3,1,5
3,31,1,2,1,5,1,5,1,5,1,5,1,5,1
3,30,1,2,1,1,2,3,4,3,1,1,4,4,3
5,18,1,2,1,1,2,2,5,2,1,1,5,2,5
13,24,1,2,1,3,1,4,3,3,1,2,4,3,5
13,13,0,2,1,4,2,5,2,4,1,5,3,3,2
3,19,1,2,1,3,2,5,2,5,2,4,3,4,2
11,20,1,2,1,2,3,2,4,2,4,4,3,2,5
11,13,1,2,1,3,1,4,2,4,1,4,4,4,2
13,16,1,2,1,4,1,3,2,5,1,5,2,3,4
3,17,1,2,1,1,1,5,4,5,1,1,4,1,2
3,27,1,2,1,3,1,5,1,5,2,5,2,4,2
3,20,1,2,1,1,3,4,2,4,2,2,3,2,4
9,44,2,2,1,2,1,3,3,4,2,4,2,4,4
3,21,1,2,1,4,1,4,2,4,1,5,2,5,2
3,21,1,2,1,3,2,4,2,5,2,4,4,2,2
4,23,2,1,1,2,4,4,4,3,4,1,2,4,4
13,24,1,2,1,1,2,1,5,3,5,1,5,1,5
1,39,1,1,1,2,4,2,4,4,2,4,5,3,3
3,45,1,2,1,1,4,2,4,2,2,1,5,1,5
3,45,1,2,2,3,1,5,1,5,1,5,2,4,1
1,20,1,1,1,3,2,5,2,5,1,5,2,5,1
13,21,1,2,1,2,4,2,5,3,3,3,3,3,3
1,23,2,2,1,2,1,3,4,2,2,3,2,2,2
9,23,2,2,1,2,2,5,1,4,2,4,1,4,1
3,22,1,2,1,1,5,3,5,1,5,1,5,1,5
3,16,1,2,1,4,2,5,2,5,2,5,3,5,3
3,20,1,1,1,4,1,5,2,5,1,2,2,4,4
1,33,2,2,1,2,4,4,4,4,2,4,4,2,4
13,17,1,2,1,4,2,3,3,4,3,3,4,3,4
11,17,1,0,1,1,3,3,3,2,3,1,4,3,4
3,20,1,2,1,2,2,4,3,4,2,2,4,2,2
1,59,1,2,1,1,5,3,5,1,5,1,1,1,5
3,25,1,1,1,5,1,4,3,5,1,4,4,4,3
3,18,1,2,1,1,3,1,5,1,3,1,1,1,5
1,27,2,1,1,1,4,3,4,3,3,3,3,2,5
3,24,1,2,1,3,4,2,2,1,3,4,3,2,5
3,29,1,1,3,5,1,5,3,5,1,4,1,5,1
3,16,1,2,3,2,5,3,5,3,2,1,4,4,4
11,29,1,1,1,2,4,3,5,4,4,3,4,3,5
13,33,2,2,1,2,2,2,4,5,1,1,5,2,5
4,21,2,1,1,4,2,4,4,2,2,3,2,5,5
3,26,1,1,1,3,3,4,3,4,2,2,4,3,4
11,21,2,1,1,1,2,2,2,3,4,2,4,4,5
4,26,2,2,1,3,2,5,3,4,4,2,2,5,2
3,14,1,1,1,3,2,3,2,5,1,3,2,5,3
1,13,1,1,1,1,4,3,5,3,5,1,4,3,5
3,30,2,1,1,4,3,5,1,5,1,5,1,5,1
3,27,1,1,1,3,5,2,5,4,4,3,5,1,5
3,17,1,1,1,2,4,2,4,3,2,2,4,3,4
13,17,1,2,1,5,2,5,1,5,2,5,5,3,2
11,19,1,2,1,3,2,4,3,3,4,2,4,2,4
0,18,1,1,1,1,5,4,5,1,2,1,4,3,5
11,23,2,2,1,1,4,2,3,4,4,1,4,2,3
1,20,2,2,1,5,1,5,3,1,5,1,1,5,5
11,19,2,2,1,4,3,3,3,3,3,4,4,3,1
13,23,2,1,1,4,3,4,2,4,2,3,2,4,4
13,14,1,1,1,1,5,3,5,1,5,3,5,1,4
4,18,1,1,1,1,5,4,4,1,5,3,4,5,5
1,18,1,2,1,4,2,5,3,5,3,5,1,5,2
5,16,2,1,1,2,4,3,4,1,4,2,4,1,4
0,23,1,2,1,3,2,4,2,3,2,2,1,5,5
4,22,2,2,1,5,1,5,3,5,2,5,2,3,2
11,19,1,1,1,1,5,2,5,2,4,1,5,1,5
13,21,2,1,1,3,2,3,2,3,3,3,5,2,3
11,19,2,1,1,1,5,1,5,1,5,1,5,1,5
10,14,1,1,2,1,3,5,1,3,4,3,5,5,5
3,39,1,2,2,5,1,5,1,5,1,5,2,5,1
3,26,2,1,1,1,5,2,3,1,3,1,5,3,5
3,48,1,1,1,1,4,5,2,4,2,4,2,5,4
3,33,1,2,1,1,3,2,2,4,4,1,5,1,5
7,20,0,1,1,2,5,2,5,3,4,4,2,5,3
3,22,2,2,2,4,1,5,2,4,1,4,2,5,2
13,21,2,1,1,1,4,5,5,2,4,1,5,1,2
3,29,1,2,1,1,4,4,5,2,4,1,4,2,4
3,43,1,1,1,3,4,4,3,4,2,4,4,2,2
11,13,1,2,3,1,4,2,3,4,2,1,5,2,5
4,22,2,1,1,2,4,2,3,5,4,2,4,3,4
13,23,1,2,1,4,1,3,3,4,1,5,3,5,2
3,24,2,1,1,3,3,3,3,3,5,1,5,1,5
3,39,2,1,2,2,3,2,3,2,1,2,3,3,4
3,29,1,2,1,4,1,3,1,5,1,1,1,5,5
3,39,1,1,1,2,1,4,4,5,1,3,4,5,2
11,26,2,2,1,2,4,2,4,2,4,2,2,3,3
13,17,1,2,1,4,1,3,1,4,1,5,1,5,1
3,18,1,2,1,5,1,5,3,5,2,5,3,4,1
5,17,2,2,1,3,4,4,2,4,2,2,2,5,2
1,26,2,2,1,5,1,5,1,5,1,4,5,1,4
3,17,1,1,2,2,4,3,4,2,3,2,4,4,4
3,16,1,2,1,4,3,2,3,2,3,2,3,3,2
3,17,1,2,1,2,2,4,4,3,2,4,4,4,5
3,35,2,1,1,3,3,5,2,3,1,4,3,5,2
1,39,1,2,1,1,3,2,5,2,2,1,5,2,4
3,18,1,2,1,2,4,2,4,2,2,2,4,1,4
11,29,1,2,1,2,4,2,4,2,4,2,4,2,4
11,15,2,2,1,1,4,1,3,3,3,1,4,1,5
13,15,2,1,1,1,3,1,5,1,5,1,5,5,5
4,16,2,1,1,1,2,4,4,5,4,1,4,5,5
3,20,2,2,1,3,1,4,3,3,1,4,3,3,5
4,19,2,1,1,1,4,1,5,1,5,1,4,1,5
3,42,1,2,2,3,3,3,2,4,2,2,3,2,2
1,19,2,1,1,2,4,2,4,3,3,3,4,2,4
9,18,2,2,1,1,4,1,4,5,4,5,4,2,2
11,17,2,1,1,1,5,3,4,2,5,2,4,1,3
3,15,2,2,2,1,3,1,4,2,4,1,3,4,5
3,42,2,2,1,3,3,5,3,5,1,4,2,3,3
3,25,1,2,1,1,2,3,4,3,2,2,4,2,4
1,15,1,1,1,2,4,3,4,2,5,2,5,1,5
4,17,2,2,1,1,1,5,5,5,5,3,4,5,5
4,16,2,2,1,3,1,5,3,3,1,5,3,5,1
1,26,2,1,2,2,1,4,2,5,1,2,2,3,2
3,19,2,3,1,1,5,2,5,1,4,1,5,1,5
3,37,2,2,1,1,4,3,4,3,1,2,3,2,4
4,24,2,1,1,3,5,4,4,2,3,3,2,4,2
11,19,2,2,1,5,2,4,3,2,3,4,3,3,5
1,36,1,1,1,1,5,2,5,2,3,1,5,1,5
4,16,2,1,1,3,4,4,4,4,3,4,3,3,4
4,24,2,1,1,3,4,4,2,3,4,4,4,4,4
12,26,1,2,1,4,3,5,1,5,1,3,2,5,2
11,20,1,1,1,1,2,5,4,4,2,5,5,1,5
3,38,2,2,1,1,3,1,2,1,2,1,3,2,5
6,15,1,2,2,1,4,1,5,1,4,1,5,1,5
3,17,2,2,1,2,2,3,2,2,3,4,4,2,4
4,22,2,1,1,1,4,3,4,1,3,2,5,3,2
7,20,1,2,1,4,4,5,1,4,5,5,1,5,2
13,27,1,2,1,1,1,3,4,3,4,1,2,1,5
11,42,2,2,1,3,4,4,4,5,2,3,3,2,5
3,25,1,2,2,2,2,3,4,3,1,2,3,3,4
3,39,1,2,1,4,2,5,2,5,2,5,2,4,2
4,23,2,1,1,3,4,4,2,2,2,2,2,3,2
11,14,2,2,1,1,4,1,5,2,5,1,5,1,5
13,21,2,2,1,3,1,5,2,5,1,5,2,5,2
3,43,1,2,1,2,3,2,4,3,2,2,4,2,5
3,20,2,2,1,1,5,1,5,1,5,1,5,1,5
3,19,2,2,1,2,4,1,5,1,4,1,5,1,5
3,29,1,2,1,5,1,5,2,4,2,5,4,4,2
3,23,1,2,1,3,2,5,2,5,1,5,4,5,2
3,13,1,1,2,1,5,3,5,1,5,1,5,1,5
13,17,1,2,1,4,2,4,2,4,2,5,3,4,2
11,21,2,2,1,4,2,4,4,2,3,3,4,3,4
3,35,1,1,1,3,2,4,2,5,2,4,3,3,2
3,29,1,2,1,3,1,5,1,5,1,5,1,5,1
8,13,1,1,1,3,2,3,2,4,2,5,4,5,4
13,13,1,2,1,2,3,4,2,3,1,2,5,5,4
8,13,1,1,1,2,4,2,4,2,5,1,5,1,5
13,13,1,1,1,3,3,3,4,2,4,1,5,1,5
3,13,1,2,1,4,2,4,2,4,3,4,5,3,4
13,13,1,2,1,4,2,3,2,4,2,4,4,5,4
